"k";"count(k)"
"part-3:divider";"1"
"part1:direction_hint";"2"
"part1:divider";"4"
"part2";"2"
"part2:direction_hint";"2"
"part2:divider";"4"
"part3";"1"
"part3:divider";"1"
"parts";"22"
"parttype";"3"
"passenger";"28"
"passengers";"1"
"passenger_information_display";"5"
"passenger_information_system";"1"
"payment:bitcoin";"1"
"payment:cash";"2"
"payment:debit_cards";"1"
"payment:electronic_purses";"1"
"phone";"180"
"phone_1";"1"
"pilgrimage";"23"
"piste:difficulty";"11"
"piste:grooming";"105"
"piste:lit";"1"
"piste:oneway";"1"
"piste:type";"134"
"place";"143"
"place:importance";"3"
"place_name";"1"
"place_numbers";"3"
"place_of_worship";"1"
"plant:output:electricity";"5"
"platform_height";"1"
"playground";"1"
"political";"292"
"political_division";"3"
"polling_station";"3"
"polling_station:city";"3"
"polling_station:ref";"3"
"population";"174"
"population:date";"8"
"postal_code";"1033"
"postal_code_level";"966"
"pos_lcd";"68"
"pos_offset";"69"
"power";"26"
"power_supply";"2"
"present";"28"
"proposed";"1"
"protect";"18"
"protected_id";"1"
"protection_code";"1"
"protection_title";"89"
"protect_class";"123"
"protect_id";"7"
"provider";"3"
"psv";"3"
"public_transport";"15195"
"public_transport:transitional_area:from";"15"
"public_transport:transitional_area:to";"13"
"public_transport:version";"6113"
"pumping_station";"1"
"qa:osm_do_addr";"1"
"quality";"127"
"quality:stops";"39"
"quality:track";"39"
"rail";"16"
"railway";"451"
"railway:pzb";"1"
"railway:ref";"64"
"railway:station_category";"1"
"railway:traffic_mode";"3"
"rail_trail:website";"5"
"razed:building";"1"
"razed:man_made";"1"
"rcn";"11"
"rcn:external_connection";"1"
"rcn_ref";"7"
"rectangle_line";"1"
"ref";"22726"
"ref:1";"2"
"ref:AST";"1"
"ref:bag";"22"
"ref:Bergisch_Gladbach";"13"
